Merk,Jenis ,Model,Varian,Harga,Transmisi,Kapasitas Silinder (cc),Kapasitras Penumpang,Jenis Bahan Bakar,Konsumsi Bahan Bakar,Jumlah Silinder,BH(3.5-7),BCC(1200-1800),BP(3-7),BKB(11-18.5),Image
TOYOTA,Sedan,Vios,New G,260600000,MT,1496,5,Bensin,14.0,4,Murah,Sedang,Sedang,Sedang,vios.jpeg
TOYOTA,Sport,FT86,2.0 L TRD ,820000000,AT,1998,2,Bensin,13.0,4,Mahal,Tinggi,Sedikit,Sedang,ft86.png
TOYOTA,Sport,FT86,2.0 L TRD ,783800000,MT,1998,2,Bensin,12.8,4,Mahal,Tinggi,Sedikit,Sedang,ft86.png
TOYOTA,Sport,Supra,GR SUPRA 3.0 L,2147100000,AT,2998,2,Bensin,10.2,6,Mahal,Tinggi,Sedikit,Boros,supra.jpeg
TOYOTA,SUV,C-Hr,HYBRID HV 1.8,552540000,AT,1798,5,Bensin,24.0,4,Sedang,Sedang,Sedang,Irit,chr.jfif
TOYOTA,SUV,Fortuner,2.4 G 4X2 DSL LUX,493000000,MT,2393,7,Diesel,11.6,4,Sedang,Tinggi,Banyak,Sedang,fortuner-lux.jpg
TOYOTA,SUV,Fortuner,2.7 SRZ 4X2 BSN GR SPORT,555000000,AT,2694,7,Bensin,9.6,4,Sedang,Tinggi,Banyak,Boros,fortuner-sport.jpeg
TOYOTA,SUV,Land Cruiser,200 FULL SPEC DSL,2552250000,AT,4461,6,Diesel,6.0,8,Mahal,Tinggi,Sedang,Boros,landcruiser.jpg
TOYOTA,SUV,Raize,1.0T,230800000,MT,1000,5,Bensin,18.0,3,Murah,Rendah,Sedang,Sedang,raize.jpg
TOYOTA,SUV,Raize,1.0T GR Sport TSS,276100000,AT,1000,5,Bensin,18.0,3,Murah,Rendah,Sedang,Sedang,raize-sport.jpg
TOYOTA,SUV,Rush,1.5 S A/T LUX GR SPORT,262780000,AT,1496,7,Bensin,11.3,4,Murah,Sedang,Banyak,Sedang,rush.jpg
